Row,References,Part,Value,P/N,Manufacture,Source,Supplier P/N,Link,Footprint,Description,Quantity Per PCB
1,C113 C114,C,12 pF,0402CG120J500NT,FH (Guangdong Fenghua Advanced Tech),,,,C_0402_1005Metric,Unpolarized capacitor,2
2,C111 C112,C,20 pF,0402CG200J500NT,FH (Guangdong Fenghua Advanced Tech),,,,C_0402_1005Metric,Unpolarized capacitor,2
3,C115,C,4.7 nF,0402B472K500NT,FH (Guangdong Fenghua Advanced Tech),,,,C_0402_1005Metric,Unpolarized capacitor,1
4,C101 C102 C103 C104 C106 C108 C109 C116 C117 C303 C304,C,100 nF,CL05B104KB54PNC,Samsung Electro-Mechanics,,,,C_0402_1005Metric,Unpolarized capacitor,11
5,C301 C302,C,1 µF,CL10A105KB8NNNC,Samsung Electro-Mechanics,,,,C_0603_1608Metric,Unpolarized capacitor,2
6,C105 C107,C,10 µF,CL31A106KBHNNNE,Samsung Electro-Mechanics,,,,C_1206_3216Metric,Unpolarized capacitor,2
7,C110,C_Polarized,1 F,SCV0001C0-003R0LTZ, SPSCAP,,,,CP_Radial_D8.0mm_P3.50mm,Polarized capacitor,1
8,D103 D104,1N4148WS,1N4148WS,1N4148WS,"Jiangsu Changjing Electronics Technology Co., Ltd.",,,,D_SOD-323,"75V 0.15A Fast switching Diode, SOD-323",2
9,D102,GBU8A,GBU8A,GBU8A-E3/51, VISHAY,,,,Diode_Bridge_Vishay_GBU,"Single-Phase Bridge Rectifier, 35V Vrms, 8.0A If, GBU package",1
10,D101 D301,LED,LED,KT-0603R,Hubei KENTO Elec,,,,LED_0603_1608Metric,Light emitting diode,2
11,D201 D202 D203 D204 D205 D206 D207 D208,SS34,SS34,SS34,MDD(Microdiode Semiconductor),,,,D_SMA,"40V 3A Schottky Diode, SMA",8
12,J103,Conn_01x02,CAN,236-402,WAGO Corporation,,2946-236-402-ND,,TerminalBlock_WAGO_236-402_1x02_P5.00mm_45Degree,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",1
13,J201 J202,Conn_01x08,L1,233-208,WAGO Corporation,,2946-233-208-ND,,TerminalBlock_WAGO_233-508_2x08_P2.54mm,"Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)",2
14,J101,Conn_01x02,Power IN,236-402/334-604,WAGO Corporation,,2946-236-402/334-604-ND,,TerminalBlock_WAGO_236-402_1x02_P5.00mm_45Degree,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",1
15,J301,USB_B_Micro,USB_B_Micro,10118194-0001LF,Amphenol ICC,,,,USB_Micro-B_Amphenol_10118193-0001LF_Horizontal,USB Micro Type B connector,1
16,Q201 Q202 Q203 Q204 Q205 Q206 Q207 Q208,AO3400A,AO3400A,AO3400A,Alpha & Omega Semicon,,,,SOT-23,"30V Vds, 5.7A Id, N-Channel MOSFET, SOT-23",8
