"Designator","MPN","Quantity Per PCB","Link"
"C113,C114","0402CG120J500NT","2",""
"C111,C112","0402CG200J500NT","2",""
"C115","0402B472K500NT","1",""
"C101,C102,C103,C104,C106,C108,C109,C116,C117,C303,C304","CL05B104KB54PNC","11",""
"C301,C302","CL10A105KB8NNNC","2",""
"C105,C107","CL31A106KBHNNNE","2",""
"D103,D104","1N4148WS","2",""
"D101,D301","KT-0603R","2",""
"D201,D202,D203,D204,D205,D206,D207,D208","SS34","8",""
"F201,F202,F203,F204,F205,F206,F207,F208","SMD1812P075TF/24","8",""
"F101","SHV2920P500-30-AA","1",""
"FB301","GZ1608D601TF","1",""
"J301","10118194-0001LF","1",""
"Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q208","AO3400A","8",""
"Q101","BC860B","1",""
"R105","0402WGF220JTCE","1",""
"R110,R112","1206W4F604JT5E","2",""
"R109,R111,R201,R202,R203,R204,R209,R210,R211,R212","0402WGF1000TCE","10",""
"R101,R103,R104,R107,R301","0402WGF1001TCE","5",""
"R102","0402WGF1002TCE","1",""
"R205,R206,R207,R208,R213,R214,R215,R216","0402WGF4702TCE","8",""
"R106","0402WGF1004TCE","1",""
"U101","AMS1117-3.3","1",""
"U106","ATECC608B-MAVDA-S","1",""
"U302","CH340N","1",""
"U102,U103","EL817S1(C)(TU)-F","2",""
"U104","STM32F103CBT6","1",""
"U105","TJA1042T/1J","1",""
"U303","USBLC6-2SC6","1",""
"U301","XC6206P332MR-G","1",""
"Y102","Q13FC13500004","1",""
"Y101","X49SM8MSD2SC","1",""
