"Comment","Designator","Footprint","LCSC Part #"
"12p","C113,C114","C_0402_1005Metric","C1547"
"20p","C111,C112","C_0402_1005Metric","C1554"
"4n7","C115","C_0402_1005Metric","C1538"
"100n","C101,C102,C103,C104,C106,C108,C109,C116,C117,C303,C304","C_0402_1005Metric","C307331"
"1µ","C301,C302","C_0603_1608Metric","C15849"
"10µ","C105,C107","C_1206_3216Metric","C13585"
"1N4148WS","D103,D104","D_SOD-323","C2128"
"LED","D101,D301","LED_0603_1608Metric","C2286"
"SS34","D201,D202,D203,D204,D205,D206,D207,D208","D_SMA","C8678"
"750mA","F201,F202,F203,F204,F205,F206,F207,F208","Fuse_1812_4532Metric","C12557"
"Polyfuse_Small","F101","Fuse_2920_7451Metric","C495350"
"FerriteBead_Small","FB301","L_0603_1608Metric","C1002"
"USB_B_Micro","J301","USB_Micro-B_Amphenol_10118193-0001LF_Horizontal","C132563"
"AO3400A","Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q208","SOT-23","C20917"
"BC860","Q101","SOT-23","C475637"
"22","R105","R_0402_1005Metric","C25092"
"60","R110,R112","R_1206_3216Metric","C57572"
"100","R109,R111,R201,R202,R203,R204,R209,R210,R211,R212","R_0402_1005Metric","C25076"
"1k","R101,R103,R104,R107,R301","R_0402_1005Metric","C11702"
"10k","R102","R_0402_1005Metric","C25744"
"47k","R205,R206,R207,R208,R213,R214,R215,R216","R_0402_1005Metric","C25792"
"1M","R106","R_0402_1005Metric","C26083"
"AMS1117-3.3","U101","SOT-223-3_TabPin2","C6186"
"ATECC608B-MAVDA-S","U106","DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm","C17350254"
"CH340N","U302","SOP-8_3.9x4.9mm_P1.27mm","C2977777"
"EL817S1(C)(TU)-F","U102,U103","SMDIP-4_W9.53mm","C106900"
"STM32F103CBTx","U104","LQFP-48_7x7mm_P0.5mm","C8304"
"TJA1042T","U105","SOIC-8_3.9x4.9mm_P1.27mm","C53670"
"USBLC6-2SC6","U303","SOT-23-6","C2827654"
"XC6206P332MR","U301","SOT-23-3","C5446"
"32k","Y102","Crystal_SMD_3215-2Pin_3.2x1.5mm","C32346"
"8MHz","Y101","Crystal_SMD_HC49-SD","C12674"
